State,Number of CoCs,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Year
DE,1,921,220,83,373,546,1,838,83,372,478,2,4,10,2019
FL,27,28328,4703,1625,9884,18357,67,24632,3696,15580,11575,108,233,92,2019
GA,9,10443,1679,642,3765,6610,57,9900,543,3175,6804,62,70,17,2019
GU,1,875,334,95,427,448,0,825,50,13,5,31,3,791,2019
HI,2,6412,1177,323,2591,3778,37,5557,855,1445,237,562,42,2013,2019
IA,3,2315,495,187,917,1395,2,2118,197,1531,566,20,91,8,2019
ID,2,2315,473,220,920,1392,0,2058,257,1903,73,12,165,33,2019
IL,19,10199,2355,926,4241,5914,31,9167,1032,3579,6218,90,67,21,2019
IN,2,5471,1092,327,2205,3246,15,5227,244,3289,1932,25,44,18,2019
KS,5,2381,383,150,932,1445,1,2135,246,1518,526,18,116,24,2019
KY,3,4079,629,308,1584,2492,3,3932,147,2867,959,11,23,5,2019
LA,7,2941,375,182,867,2058,9,2860,81,1137,1706,7,34,7,2019
MA,15,18471,7357,1540,9118,9311,28,11091,7380,9679,6436,164,125,91,2019
MD,16,6561,1214,399,2490,4047,22,6292,269,2385,3778,46,45,26,2019
ME,1,2106,541,147,995,1094,13,2006,100,1581,375,9,43,6,2019
MI,21,8575,2231,712,3532,5026,13,7989,586,3740,4286,41,95,13,2019
MN,10,7977,2157,900,3554,4385,29,7396,581,2785,3453,109,940,57,2019
MO,8,6179,1359,545,2696,3451,20,5872,307,3164,2568,29,74,25,2019
MP,1,1807,586,191,837,970,0,1807,0,1,1,494,0,1281,2019
MS,3,1184,152,55,417,752,0,1156,28,561,574,6,6,1,2019
MT,1,1357,250,111,555,793,4,1211,146,905,36,8,234,12,2019
NC,12,9314,1553,532,3576,5716,12,8903,411,3992,4832,31,94,19,2019
ND,1,557,127,74,178,378,1,475,82,322,90,1,101,7,2019
NE,3,2365,423,185,866,1494,4,2104,261,1580,546,13,73,4,2019
NH,3,1396,352,117,626,758,3,1231,165,1172,100,9,5,6,2019
NJ,16,8862,1831,714,3579,5264,17,7071,1791,3545,4913,65,77,51,2019
NM,2,3241,515,217,1278,1930,19,1879,1362,1842,192,17,842,27,2019
NV,3,7169,656,1025,2095,5042,31,6221,948,4297,2210,144,185,59,2019
NY,27,92091,28985,8444,42980,48685,401,61457,30634,20931,64450,1133,370,949,2019
OH,9,10345,2135,853,4131,6185,26,9956,389,5180,4606,26,42,16,2019
OK,8,3944,549,327,1351,2578,7,3670,274,2428,752,15,482,19,2019
OR,7,15876,2645,1116,6187,9551,77,14309,1567,12839,896,82,777,195,2019
PA,16,13199,3020,1079,5373,7776,32,11647,1552,5711,6851,55,53,50,2019
PR,2,2535,110,85,533,1990,11,58,2477,1080,462,4,19,4,2019
RI,1,1055,197,39,358,690,7,799,256,655,309,8,17,4,2019
SC,4,4172,520,263,1520,2647,2,4052,120,1793,2160,14,36,10,2019
SD,1,995,188,72,389,605,1,945,50,285,75,3,609,0,2019
TN,10,7467,1170,421,2823,4632,10,7265,202,4268,2886,22,56,16,2019
TX,11,25848,4249,1523,9404,16361,66,18884,6964,14984,9622,202,245,77,2019
UT,3,2798,565,190,1108,1673,12,2190,608,2159,276,41,131,77,2019
VA,16,5783,1346,367,2318,3452,9,5313,470,2208,3100,97,41,11,2019
,1,314,0,6,73,236,0,270,44,46,228,0,6,0,2019
VT,2,1089,251,136,461,616,9,1047,42,925,85,19,8,1,2019
WA,6,21577,3557,2123,8820,12190,246,18506,3071,12590,4436,510,1751,635,2019
WI,4,4538,1303,286,1947,2578,9,4124,414,2545,1393,42,234,4,2019
WV,4,1397,153,94,529,868,0,1362,35,1161,190,8,6,2,2019
WY,1,548,81,69,172,376,0,481,67,456,31,0,29,3,2019
,397,567715,107069,45629,219911,343187,3255,443100,124615,270607,225735,7228,17966,9311,2019
AK,2,1949,326,197,828,1114,3,1823,126,634,137,22,890,40,2020
AL,8,3351,528,198,1294,1988,9,3214,126,1462,1755,2,37,11,2020
AR,4,2366,195,258,798,1561,5,2313,53,1353,901,4,42,21,2020
