Date,State,School,Fatalities,Wounded,Total
09/05/2000,Ohio,ES,2,,2
9/26/2000,Louisiana,MS,0,,0
9/26/2000,Louisiana,-,0,2,2
10/23/2000,California,C,1,,1
10/26/2000,New York,HS,1,,1
10/27/2000,Tennessee,HS,1,,1
12/01/2000,California,HS,0,,0
12/01/2000,California,HS,0,1,1
01/10/2001,California,HS,1,,1
1/17/2001,Maryland,HS,1,,1
1/29/2001,Texas,MS,1,,1
03/02/2001,California,HS,0,,0
03/05/2001,California,HS,2,,2
03/05/2001,California,HS,2,13,15
03/07/2001,Pennsylvania,HS,0,,0
03/07/2001,Pennsylvania,HS,0,1,1
3/22/2001,California,HS,0,,0
3/22/2001,California,HS,0,5,5
3/30/2001,Indiana,HS,1,,1
3/30/2001,Indiana,HS,1,0,1
04/03/2001,Texas,MS,0,,0
4/25/2001,Ohio,HS,1,,1
5/15/2001,Texas,HS,0,,0
5/16/2001,Washington,C,2,0,2
5/17/2001,Washington,C,1,,1
10/12/2001,Utah,HS,0,,0
11/12/2001,Michigan,HS,0,,0
1/15/2002,New York,HS,0,,0
1/15/2002,New York,HS,0,2,2
1/16/2002,Virginia,C,3,,3
1/16/2002,Virginia,C,3,3,6
2/20/2002,Wisconsin,HS,1,0,1
06/11/2002,Missouri,-,3,2,5
7/26/2002,North Carolina,MS,1,,1
10/04/2002,Texas,MS,1,,1
10/07/2002,Maryland,MS,0,,0
10/07/2002,Maryland,MS,0,1,1
10/28/2002,Arizona,C,4,,4
10/28/2002,Arizona,C,4,0,4
10/29/2002,New Jersey,HS,0,1,1
11/07/2002,Missouri,ES,1,,1
12/16/2002,Illinois,HS,1,,1
3/23/2003,Mississippi,HS,0,,0
04/10/2003,California,HS,0,,0
4/14/2003,Louisiana,HS,1,,1
4/14/2003,Louisiana,HS,1,3,4
4/17/2003,Texas,ES,1,,1
4/24/2003,Pennsylvania,MS,1,,1
4/24/2003,Pennsylvania,HS,2,0,2
05/09/2003,Ohio,C,1,,1
05/09/2003,Ohio,C,1,2,3
5/13/2003,Pennsylvania,HS,1,,1
06/04/2003,Pennsylvania,MS,0,,0
7/15/2003,Texas,HS,0,,0
9/24/2003,Minnesota,HS,2,,2
9/24/2003,Minnesota,HS,2,0,2
10/30/2003,District Of Columbia,HS,1,,1
11/07/2003,Texas,HS,1,,1
1/21/2004,Nevada,ES,1,,1
02/02/2004,District Of Columbia,HS,1,,1
02/02/2004,D.C.,HS,1,0,1
02/09/2004,New York,HS,0,,0
02/09/2004,New York,-,0,1,1
02/11/2004,Pennsylvania,ES,1,,1
3/17/2004,Washington,MS,0,,0
05/07/2004,Maryland,HS,0,,0
05/07/2004,Maryland,HS,0,4,4
5/24/2004,Utah,HS,1,,1
06/01/2004,Virgin Islands,HS,1,,1
8/30/2004,Illinois,HS,1,,1
10/04/2004,Tennessee,HS,0,,0
11/22/2004,Pennsylvania,HS,1,,1
12/10/2004,Washington,HS,1,,1
01/06/2005,Pennsylvania,HS,1,,1
02/08/2005,Illinois,HS,0,1,1
03/02/2005,Tennessee,HS,1,0,1
3/21/2005,Minnesota,HS,10,,10
3/21/2005,Minnesota,HS,10,7,17
5/17/2005,Pennsylvania,ES,1,,1
9/13/2005,Illinois,HS,0,,0
9/13/2005,Illinois,HS,0,1,1
11/08/2005,Tennessee,HS,1,,1
11/08/2005,Tennessee,HS,1,2,3
1/13/2006,Alabama,HS,1,,1
1/13/2006,Florida,MS,0,1,1
1/15/2006,Florida,MS,1,,1
2/23/2006,Oregon,HS,1,,1
2/23/2006,Oregon,HS,0,1,1
3/14/2006,Nevada,MS,0,,0
3/14/2006,Nevada,MS,0,2,2
06/05/2006,California,HS,1,,1
8/24/2006,Vermont,ES,2,,2
8/24/2006,Vermont,ES,2,3,5
8/30/2006,North Carolina,HS,3,,3
8/30/2006,North Carolina,HS,0,2,2
09/02/2006,West Virginia,C,2,,2
09/02/2006,West Virginia,C,3,0,3
9/17/2006,Pennsylvania,C,0,,0
9/17/2006,Pennsylvania,-,0,5,5
9/27/2006,Colorado,HS,1,,1
9/27/2006,Colorado,HS,2,0,2
9/29/2006,Wisconsin,HS,1,,1
9/29/2006,Wisconsin,HS,1,0,1
10/02/2006,Pennsylvania,HS,5,,5
10/02/2006,Pennsylvania,HS,6,3,9
10/09/2006,Missouri,MS,0,,0
10/09/2006,Missouri,MS,0,0,0
10/17/2006,Texas,HS,1,,1
10/29/2006,California,ES,1,,1
11/28/2006,Texas,HS,1,,1
12/12/2006,Pennsylvania,MS,1,,1
01/03/2007,Washington,HS,1,,1
01/03/2007,Washington,HS,1,0,1
02/08/2007,Oregon,HS,1,,1
03/07/2007,Michigan,HS,0,,0
03/07/2007,Texas,HS,0,,0
03/07/2007,California,HS,0,1,1
3/24/2007,North Carolina,C,0,,0
04/02/2007,Washington,C,1,,1
04/10/2007,Oregon,HS,0,,0
4/16/2007,Virginia,C,32,,32
4/16/2007,Virginia,C,33,23,56
9/21/2007,Delaware,C,1,,1
9/28/2007,California,HS,0,,0
9/30/2007,Tennessee,C,1,,1
10/10/2007,Ohio,HS,0,,0
10/10/2007,Ohio,HS,1,4,5
11/06/2007,Florida,HS,0,1,1
1/15/2008,Oklahoma,HS,0,,0
1/16/2008,Ohio,HS,0,,0
1/16/2008,North Carolina,HS,0,,0
02/04/2008,Tennessee,HS,0,,0
02/04/2008,Tennessee,HS,0,1,1
02/07/2008,Ohio,ES,0,,0
02/08/2008,Louisiana,C,3,,3
02/08/2008,Louisiana,C,3,0,3
02/11/2008,Tennessee,HS,0,,0
02/11/2008,Tennessee,HS,0,1,1
02/12/2008,California,MS,1,,1
02/12/2008,California,HS,1,0,1
2/14/2008,Illinois,C,5,,5
2/14/2008,Illinois,C,6,21,27
2/23/2008,Arkansas,C,0,,0
2/27/2008,Arkansas,C,0,,0
2/28/2008,Florida,HS,0,,0
03/06/2008,Alabama,HS,1,,1
03/07/2008,Illinois,HS,1,,1
04/05/2008,Illinois,HS,1,,1
4/16/2008,California,HS,1,,1
4/24/2008,Nebraska,MS,0,,0
4/29/2008,District of Columbia,C,0,,0
7/24/2008,Arizona,C,0,,0
8/14/2008,Washington,MS,1,,1
8/14/2008,Washington,MS,1,0,1
8/21/2008,Tennessee,HS,1,,1
8/21/2008,Tennessee,HS,1,0,1
8/29/2008,Oregon,HS,0,,0
09/02/2008,Ohio,HS,0,,0
09/02/2008,Ohio,HS,0,0,0
10/13/2008,Texas,C,1,,1
10/16/2008,Michigan,HS,1,,1
10/16/2008,Michigan,HS,1,3,4
10/20/2008,California,HS,1,,1
10/21/2008,Indiana,HS,1,,1
10/26/2008,Arkansas,C,2,,2
10/26/2008,Arkansas,C,2,1,3
10/31/2008,Maine,ES,0,,0
11/12/2008,Florida,HS,1,,1
11/13/2008,Florida,HS,1,0,1
11/15/2008,Utah,HS,1,,1
11/21/2008,Georgia,C,0,,0
01/08/2009,Delaware,HS,0,,0
01/09/2009,Illinois,HS,0,,0
01/09/2009,Illinois,HS,0,5,5
1/23/2009,Illinois,HS,1,,1
02/07/2009,Texas,C,1,,1
02/11/2009,California,ES,0,,0
2/17/2009,Michigan,HS,0,,0
03/06/2009,North Carolina,HS,0,,0
03/10/2009,Florida,HS,2,,2
04/10/2009,Michigan,C,1,,1
4/24/2009,Texas,C,1,,1
4/26/2009,Virginia,C,0,,0
4/26/2009,Virginia,C,0,3,3
05/01/2009,Wisconsin,HS,0,,0
05/05/2009,New York,HS,0,,0
5/18/2009,Louisiana,MS,0,,0
5/18/2009,Massachusetts,C,1,,1
5/18/2009,Massachusetts,C,1,0,1
5/18/2009,Louisiana,MS,1,0,1
06/09/2009,Kentucky,MS,1,,1
6/16/2009,California,HS,0,,0
6/16/2009,California,HS,0,3,3
6/24/2009,Iowa,HS,1,,1
09/02/2009,California,C,0,,0
09/03/2009,Georgia,C,1,,1
09/03/2009,California,C,0,1,1
09/08/2009,Connecticut,HS,0,,0
9/14/2009,Michigan,HS,0,,0
9/16/2009,Virginia,HS,0,,0
10/16/2009,South Carolina,HS,1,,1
10/16/2009,South Carolina,HS,1,0,1
10/30/2009,California,HS,1,,1
11/16/2009,Texas,ES,0,,0
12/02/2009,Massachusetts,HS,0,,0
12/08/2009,Virginia,C,0,,0
12/11/2009,Louisiana,HS,0,,0
01/07/2010,Arizona,HS,0,,0
1/20/2010,Alabama,HS,1,,1
02/05/2010,Alabama,MS,1,,1
02/05/2010,Alabama,MS,1,0,1
02/10/2010,Tennessee,ES,0,,0
02/12/2010,Alabama,C,3,,3
02/12/2010,Alabama,C,3,3,6
2/19/2010,Illinois,C,0,,0
2/19/2010,Illinois,C,0,1,1
2/23/2010,Colorado,MS,0,,0
2/23/2010,Colorado,MS,0,2,2
2/26/2010,Washington,ES,2,,2
03/09/2010,Ohio,C,1,,1
03/09/2010,Ohio,C,1,1,2
4/29/2010,Virginia,HS,0,,0
5/18/2010,California,HS,0,,0
8/31/2010,Tennessee,HS,1,,1
09/07/2010,Michigan,HS,0,,0
09/08/2010,Michigan,HS,0,2,2
9/16/2010,Louisiana,MS,1,,1
9/21/2010,South Carolina,HS,0,,0
9/28/2010,Texas,C,1,,1
9/28/2010,Texas,C,1,0,1
10/01/2010,California,HS,1,,1
10/01/2010,California,HS,1,0,1
10/03/2010,North Carolina,C,1,,1
10/08/2010,California,ES,0,,0
10/08/2010,California,ES,0,2,2
10/25/2010,Alabama,ES,0,,0
11/29/2010,Wisconsin,HS,0,,0
11/29/2010,Wisconsin,HS,1,0,1
12/06/2010,Colorado,HS,0,1,1
01/05/2011,Nebraska,HS,1,,1
01/05/2011,Nebraska,HS,2,2,4
1/18/2011,California,HS,0,,0
02/02/2011,California,ES,1,,1
2/14/2011,Tennessee,C,0,,0
2/23/2011,California,C,1,,1
3/25/2011,Indiana,MS,0,,0
3/25/2011,Indiana,MS,0,1,1
3/31/2011,Texas,HS,1,,1
3/31/2011,Texas,HS,1,5,6
04/06/2011,Alabama,C,1,,1
4/13/2011,Florida,HS,0,,0
4/19/2011,Texas,ES,0,,0
5/23/2011,Hawaii,MS,0,,0
5/23/2011,Hawaii,MS,0,1,1
8/26/2011,Michigan,HS,0,,0
10/24/2011,North Carolina,HS,0,,0
10/24/2011,North Carolina,HS,0,1,1
11/15/2011,California,C,0,,0
12/08/2011,Virginia,C,1,,1
12/08/2011,Virginia,C,2,0,2
12/09/2011,Texas,MS,0,,0
12/09/2011,Texas,MS,0,2,2
01/04/2012,Texas,MS,0,,0
01/10/2012,Texas,HS,0,,0
01/10/2012,Texas,HS,0,1,1
02/10/2012,New Hampshire,ES,0,,0
2/22/2012,Washington,ES,0,,0
2/27/2012,Ohio,HS,3,,3
2/27/2012,Ohio,HS,3,3,6
03/06/2012,Florida,HS,1,,1
03/06/2012,Florida,-,2,0,2
3/24/2012,Mississippi,C,1,,1
04/02/2012,California,C,7,,7
04/02/2012,California,C,7,3,10
5/26/2012,North Carolina,ES,1,,1
8/16/2012,Tennessee,HS,0,,0
8/16/2012,Tennessee,HS,0,2,2
8/27/2012,Maryland,HS,0,,0
8/27/2012,Maryland,HS,0,1,1
09/07/2012,Illinois,HS,0,,0
09/07/2012,Illinois,HS,0,0,0
09/12/2012,Maryland,C,0,,0
10/06/2012,Alabama,C,1,0,1
10/19/2012,Illinois,HS,1,0,1
10/31/2012,California,C,0,,0
10/31/2012,California,C,0,4,4
11/30/2012,Maryland,C,0,,0
12/14/2012,Connecticut,ES,27,,27
12/14/2012,Connecticut,ES,28,2,30
01/07/2013,Florida,ES,1,,1
01/07/2013,Florida,-,1,0,1
01/10/2013,California,HS,0,,0
01/10/2013,California,HS,0,2,2
01/12/2013,Michigan,HS,0,1,1
1/15/2013,Kentucky,C,3,,3
1/15/2013,Missouri,C,0,,0
1/15/2013,Missouri,C,0,2,2
1/15/2013,Kentucky,C,3,0,3
1/16/2013,Illinois,C,0,,0
1/16/2013,Illinois,C,1,0,1
1/22/2013,Texas,C,0,,0
1/22/2013,Texas,C,0,3,3
1/31/2013,Arizona,HS,0,,0
1/31/2013,Georgia,MS,0,,0
1/31/2013,Arizona,HS,0,0,0
1/31/2013,Georgia,MS,0,2,2
3/18/2013,Florida,C,1,,1
3/18/2013,Florida,C,1,0,1
04/12/2013,Virginia,C,0,,0
04/12/2013,Virginia,C,0,2,2
4/16/2013,Louisiana,C,0,,0
4/16/2013,Louisiana,C,0,3,3
4/18/2013,Massachusetts,C,2,,2
4/18/2013,Massachusetts,C,2,1,3
5/14/2013,Alabama,MS,0,,0
5/14/2013,Alabama,MS,0,0,0
06/07/2013,California,C,6,,6
06/07/2013,California,C,6,4,10
6/20/2013,Florida,HS,2,,2
8/20/2013,Georgia,ES,0,,0
8/20/2013,Georgia,-,0,0,0
8/23/2013,Mississippi,HS,1,,1
8/23/2013,Mississippi,HS,1,2,3
8/30/2013,North Carolina,HS,0,,0
8/30/2013,North Carolina,HS,0,1,1
10/04/2013,Florida,HS,0,,0
10/04/2013,Florida,HS,0,2,2
10/21/2013,Nevada,MS,2,,2
10/21/2013,Nevada,MS,2,2,4
11/02/2013,North Carolina,C,0,,0
11/02/2013,North Carolina,C,0,1,1
11/03/2013,Georgia,HS,0,,0
11/03/2013,Georgia,HS,0,2,2
11/13/2013,Pennsylvania,HS,0,,0
11/13/2013,Pennsylvania,HS,0,3,3
12/04/2013,Florida,HS,0,,0
12/04/2013,Florida,HS,0,1,1
12/13/2013,Colorado,HS,2,,2
12/13/2013,Colorado,HS,2,0,2
12/19/2013,California,HS,0,,0
12/19/2013,California,HS,0,1,1
01/09/2014,Tennessee,HS,0,1,1
1/13/2014,Connecticut,HS,0,1,1
1/14/2014,New Mexico,MS,0,3,3
1/17/2014,Pennsylvania,HS,0,2,2
1/20/2014,Pennsylvania,C,0,1,1
1/21/2014,Indiana,C,1,0,1
1/24/2014,South Carolina,C,1,0,1
1/25/2014,California,C,1,0,1
1/27/2014,Illinois,HS,0,1,1
1/28/2014,Tennessee,C,0,1,1
1/30/2014,Florida,C,0,1,1
1/31/2014,Iowa,HS,0,1,1
02/10/2014,North Carolina,HS,0,1,1
02/10/2014,Ohio,HS,0,0,0
02/12/2014,California,C,0,1,1
2/22/2014,Georgia,C,0,1,1
